genus,species,ch.abundance,ch.trend,ch.distr,h.position,h.breadth,h.humidity,d.position,d.breadth,lat.distr,n.type,n.loc,m.distance,m.flex,pc1,pc2,protection
Ficedula,albicollis,0,0,0.16,2.5,3,1,3,1,49.17,3,3,3,0,-0.43,-0.69,0
Ficedula,hypoleuca,0,-1,0.08,2.0,0,1,3,1,56.35,3,3,3,0,-0.50,-1.01,0
Ficedula,parva,2,1,0.24,1.0,0,1,3,1,52.99,2,3,3,0,-0.58,-1.05,2
Fringilla,coelebs,0,0,0.01,3.7,5,1,2,2,50.40,1,3,2,1,-0.69,1.05,0
Fulica,atra,-1,0,0.00,7.0,0,3,2,2,50.07,1,1,2,1,0.24,0.05,0
Galerida,cristata,-1,1,-0.89,7.0,0,1,2,2,45.99,1,1,1,0,-0.58,1.45,1
Gallinago,gallinago,-2,-1,-0.36,7.0,0,2,3,1,56.16,1,1,2,0,0.12,-0.03,2
Gallinula,chloropus,0,1,-0.02,7.0,0,3,3,2,48.74,1,1,2,1,-0.38,-0.21,0
Garrulus,glandarius,0,0,0.02,2.5,3,1,2,3,50.55,1,3,1,1,-0.14,-0.85,0
Glaucidium,passerinum,0,-1,0.66,1.0,0,1,4,1,59.68,3,3,1,0,0.37,-0.43,2
Haliaeetus,albicilla,2,0,1.38,6.0,0,2,4,1,55.54,1,3,1,1,4.15,2.12,3
Hippolais,icterina,0,0,0.02,3.5,1,1,3,2,53.42,1,3,3,0,-0.60,-0.93,0
Hirundo,rustica,0,1,0.00,5.0,2,1,3,1,50.96,2,3,3,0,-0.62,-0.10,1
Ixobrychus,minutus,0,2,0.11,6.0,2,3,4,1,47.14,1,2,3,0,-0.30,-1.15,3
Jynx,torquilla,0,1,0.06,3.5,1,1,3,1,52.93,3,3,3,0,-0.85,-1.20,2
Lanius,collurio,0,1,0.02,6.0,0,1,4,2,50.94,1,2,3,0,-0.48,-0.78,1
Lanius,excubitor,0,1,-0.04,4.5,3,1,4,1,54.32,1,2,2,1,-0.20,-0.45,1
Lanius,senator,-1,1,-2.00,4.3,3,1,3,1,41.28,1,2,3,0,-0.49,-0.94,2
Larus,canus,-1,-2,0.00,7.0,0,3,2,3,59.30,1,1,2,1,0.51,-0.68,0
Larus,ridibundus,-2,0,-0.45,7.0,0,3,2,3,55.37,1,1,2,1,0.54,0.13,0
Limosa,limosa,-2,0,-0.98,7.0,0,3,3,1,51.44,1,1,3,0,0.56,0.06,3
Locustella,fluviatilis,0,0,0.25,3.5,2,2,3,1,51.44,1,1,3,0,-0.70,-1.10,0
Locustella,luscinioides,0,0,0.45,7.0,0,3,3,1,49.09,1,1,3,0,-0.59,-0.07,1
Locustella,naevia,0,0,0.24,6.0,0,2,3,1,52.78,1,1,3,0,-0.96,0.20,0
Lullula,arborea,0,1,0.26,4.0,4,1,2,2,47.68,1,1,2,0,-0.51,1.87,2
Luscinia,megarhynchos,1,0,0.28,4.0,2,2,3,2,45.21,1,1,3,0,-0.53,-0.63,1
Merops,apiaster,2,3,0.71,6.0,0,1,3,1,43.67,3,2,3,0,-0.41,-1.79,2
Miliaria,calandra,2,4,0.64,6.0,0,1,2,2,45.98,1,1,2,1,-0.77,0.89,3
Milvus,migrans,-1,-3,0.11,2.0,0,2,4,1,46.73,1,3,3,0,1.27,0.27,3
Milvus,milvus,2,0,0.58,3.0,2,1,4,1,47.60,1,3,2,1,1.39,0.31,3
Motacilla,alba,0,0,0.02,5.0,2,2,3,1,51.82,2,3,2,0,-0.75,1.05,0
Motacilla,cinerea,0,0,0.08,4.0,4,3,3,2,47.52,2,3,2,1,-0.73,1.17,0
Motacilla,flava,1,2,0.03,7.0,0,2,3,1,51.63,1,1,3,0,-0.78,0.69,2
Muscicapa,striata,0,1,0.02,3.0,2,1,3,1,51.57,2,3,3,0,-0.51,-0.70,1
Netta,rufina,1,1,0.71,7.0,0,3,2,1,44.39,1,1,2,0,0.76,-1.92,2
Nucifraga,caryocatactes,0,-1,0.03,1.0,0,1,2,2,53.10,1,3,1,0,0.04,0.20,1
Numenius,arquata,-2,0,-1.08,7.0,0,3,3,2,57.17,1,1,2,0,1.29,0.21,3
Nycticorax,nycticorax,1,-1,0.67,6.0,2,3,4,1,45.09,1,3,3,0,0.41,-0.26,2
Oenanthe,oenanthe,-2,-1,-0.65,7.0,0,1,3,2,51.87,2,2,3,0,-0.65,0.95,2
Oriolus,oriolus,0,0,0.10,3.0,2,2,3,2,48.16,1,3,3,0,-0.41,-0.67,2
Otis,tarda,-2,0,-2.00,7.0,0,1,2,2,44.31,1,1,1,0,2.66,0.01,3
Panurus,biarmicus,-1,-3,0.14,7.0,0,3,2,2,48.17,1,1,2,1,-0.86,1.64,2
Parus,ater,0,1,0.08,2.0,2,1,2,2,51.36,3,3,1,1,-0.51,-0.61,0
Parus,caeruleus,0,1,0.01,3.0,2,1,2,2,49.87,3,3,1,1,-0.63,-0.73,0
Parus,cristatus,0,1,-0.05,1.0,0,1,2,2,52.32,3,3,1,0,-0.33,0.46,0
Parus,major,0,0,0.01,3.0,2,1,2,2,50.87,3,3,1,1,-0.78,-0.32,0
Parus,montanus,0,0,0.19,2.0,0,1,2,2,55.55,3,3,1,0,-0.33,-0.92,0
Parus,palustris,0,0,0.01,2.0,2,1,2,2,49.95,3,3,1,0,-0.56,-0.37,0
Passer,domesticus,0,1,0.00,5.0,2,1,2,2,51.52,2,3,1,0,-1.15,3.09,0
Passer,montanus,0,0,-0.02,4.3,3,1,2,2,48.99,3,3,1,0,-0.87,1.71,0
Perdix,perdix,1,2,-0.11,7.0,0,1,1,1,50.02,1,1,1,0,0.03,-3.12,1
Pernis,apivorus,1,1,0.12,2.0,0,1,3,1,51.88,1,3,3,0,1.10,0.11,2
Phalacrocorax,carbo,-2,-4,0.24,6.0,0,3,4,1,51.66,1,3,2,1,1.47,0.81,1
Phoenicurus,ochruros,0,-1,0.03,5.0,2,1,3,2,48.10,2,3,2,0,-0.53,0.32,0
Phoenicurus,phoenicurus,1,2,0.06,3.0,2,1,3,2,53.25,3,3,3,0,-0.32,0.36,0
Phylloscopus,collybita,0,0,0.06,3.5,3,1,3,2,52.08,2,1,2,0,-0.75,0.74,0
Phylloscopus,sibilatrix,0,0,0.03,2.0,0,1,3,1,53.40,2,1,3,0,-0.60,-0.83,0
Phylloscopus,trochilus,0,0,0.06,3.5,3,1,3,2,54.87,2,1,3,0,-0.44,-0.31,0
Pica,pica,1,-1,0.04,5.0,2,1,2,3,52.27,2,3,1,0,0.00,-0.41,0
Picus,canus,0,0,-0.04,2.5,3,1,3,1,51.74,3,3,1,0,0.11,0.00,0
Picus,viridis,0,1,0.01,2.5,3,1,3,1,48.50,3,3,1,0,-0.17,-0.61,0
Podiceps,cristatus,-1,0,-0.04,7.0,0,3,4,1,51.53,1,1,2,0,0.72,-0.44,1
Podiceps,nigricollis,-2,-1,-1.14,7.0,0,3,3,2,49.23,1,1,2,0,0.17,-0.21,1
Porzana,parva,2,3,1.38,7.0,0,3,3,1,49.39,1,1,3,0,-0.65,0.09,3
Porzana,porzana,2,3,0.31,7.0,0,3,3,2,51.89,1,1,3,0,-0.58,-0.60,2
Prunella,collaris,0,0,0.22,7.0,0,1,2,2,44.20,2,2,1,1,-0.63,-0.49,2
Prunella,modularis,1,0,0.05,3.0,2,1,3,2,53.87,1,2,2,1,-0.71,1.11,0
Pyrrhula,pyrrhula,0,0,0.01,2.5,3,1,1,2,53.81,1,3,2,1,-0.57,0.15,0
Rallus,aquaticus,2,3,0.37,7.0,0,3,3,2,48.62,1,1,2,1,-0.49,-0.41,2
Regulus,ingicapillus,1,1,0.38,1.0,0,1,3,1,46.64,2,3,2,1,-0.75,0.11,0
Regulus,regulus,0,0,0.07,1.0,0,1,3,1,53.93,2,3,1,1,-0.64,0.16,0
Remiz,pendulinus,0,-1,-0.15,4.5,3,2,3,2,48.35,2,3,2,0,-0.59,-0.21,1
Riparia,riparia,0,0,-0.32,7.0,0,2,3,1,52.83,3,2,3,0,-0.65,-0.58,1
Saxicola,rubetra,1,0,-0.04,6.5,1,1,3,2,53.40,1,1,3,0,-0.57,-0.93,1
Saxicola,torquata,0,0,0.31,6.0,0,1,3,2,45.60,1,1,2,0,-0.79,1.73,1
Scolopax,rusticola,1,1,-0.11,1.5,0,2,3,2,53.65,1,1,2,0,0.18,1.78,1
Serinus,serinus,0,0,0.02,3.0,2,1,1,2,45.75,1,3,2,0,-0.82,0.87,0
Sitta,europea,0,0,0.04,2.5,3,1,2,2,49.39,3,3,1,0,-0.25,-0.59,0
Sterna,hirundo,2,3,0.27,7.0,0,3,4,1,55.52,1,1,3,0,0.17,-0.02,2
Streptopelia,decaocto,0,0,0.01,4.0,0,1,1,1,49.85,1,3,1,0,-0.65,3.53,0
Streptopelia,turtur,0,1,-0.05,4.0,4,1,1,1,47.26,1,2,3,0,-0.40,0.19,0
Strix,aluco,2,2,0.01,2.5,3,1,4,1,49.70,3,3,1,0,1.16,0.94,0
Strix,uralensis,2,1,1.00,1.0,0,1,4,1,60.00,2,3,1,0,1.39,1.07,3
Sturnus,vulgaris,0,1,0.01,4.3,3,1,3,2,52.84,3,3,2,1,-0.37,0.25,0
Sylvia,atricapilla,1,0,0.06,3.3,3,1,3,2,50.33,1,2,2,0,-0.73,0.03,0
Sylvia,borin,0,-1,0.02,2.5,1,1,3,2,53.15,1,2,3,0,-0.77,0.02,0
Sylvia,communis,0,1,0.07,5.5,1,1,3,2,50.57,1,2,3,0,-0.73,-0.08,0
Sylvia,curruca,0,1,0.04,4.5,1,1,3,2,52.94,1,2,3,0,-0.75,0.01,0
Sylvia,nisoria,2,3,0.07,4.0,2,1,3,2,50.54,1,2,3,0,-0.50,-0.75,2
Tachybaptus,ruficollis,-1,0,0.00,7.0,0,3,3,1,48.14,1,1,2,1,-0.40,0.40,1
Tetrao,tetrix,-2,-1,-0.35,4.0,4,1,2,2,41.88,1,1,1,0,0.52,-1.83,2
Tetrao,urogallus,-1,1,-0.38,1.5,1,1,2,2,59.33,1,1,1,0,1.62,-0.65,3
Tringa,totanus,-1,1,-0.02,7.0,0,3,3,1,54.89,1,1,2,0,0.34,0.04,3
Troglodytes,troglodytes,2,2,0.04,3.7,5,2,3,1,50.81,2,2,1,1,-0.53,0.86,0
Turdus,merula,0,0,0.01,2.7,3,1,3,2,49.66,1,3,1,1,-0.65,2.09,0
Turdus,philomelos,0,0,0.02,4.0,4,1,3,2,54.21,1,3,2,1,-0.81,1.80,0
Turdus,pilaris,0,0,0.07,3.5,1,1,3,2,55.68,1,3,2,1,-0.38,0.47,0
Turdus,torquatus,-2,-2,-0.19,3.0,2,1,3,2,56.49,1,3,2,1,-0.49,-0.41,2
Turdus,viscivorus,0,0,0.16,2.7,3,1,2,2,52.31,1,3,2,1,-0.28,0.88,0
Tyto,alba,-2,0,-0.21,6.5,1,1,4,1,46.45,1,3,1,0,0.28,-0.78,2
Upupa,epops,0,1,-0.19,4.0,4,1,3,1,46.08,3,3,3,0,-0.33,-0.88,2
Vanellus,vanellus,-2,-1,-0.16,7.0,0,2,3,1,54.09,1,1,2,0,0.59,0.47,0
